family,case,tail_ratio,passes,seed,pass_estimate,pass_absolute_error,mean_estimate,mean_absolute_error,empirical_sd,empirical_stderr,pass_runtime_s,mean_runtime_s,total_runtime_s,max_peak_rss_mb,pass_max_importance_multiplier,max_importance_multiplier,pass_max_post_truncation_abs_coefficient,max_post_truncation_abs_coefficient,reference
clifford_t,ct_n20_d12,1.00,85,202707160385,0.32315984777033568,0.0063609149191612979,0.32873289194549676,0.00078787074400021861,0.0043273045799507538,0.00046936208182474232,0.797108101,0.824820336,70.109728531,90.051,303.51448424980038,21603.150012187914,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,86,202707160386,0.33559896622318008,0.006078203533683102,0.32881273001849309,0.00070803267100388867,0.0043650244332864548,0.00047069268974204558,0.817117489,0.824730768,70.926846020,90.051,128.07679762807092,21603.150012187914,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,87,202707160387,0.33167826634808512,0.0021575036585881335,0.32884566721768377,0.00067509547181321405,0.0043504332469177292,0.00046641540159955843,0.786305456,0.824289097,71.713151476,90.051,189.54176498763502,21603.150012187914,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,88,202707160388,0.3231063678725436,0.0064143948169533838,0.32878044790694355,0.00074031478255343064,0.0043684138146997649,0.00046567447731586735,0.794508573,0.823950682,72.507660049,90.051,260.51582127464701,21603.150012187914,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,89,202707160389,0.32477197434439858,0.0047487883450983981,0.32873540887815089,0.00078535381134609006,0.0043642552965923453,0.0004626101362194414,0.808410604,0.823776075,73.316070653,90.051,219.38167442023419,21603.150012187914,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,90,202707160390,0.33324779030264728,0.0037270276131503022,0.32878554644953417,0.00073521623996281038,0.0043656564227479815,0.00046018059258755143,0.817286344,0.823703967,74.133356997,90.051,459.26537510726229,21603.150012187914,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,91,202707160391,0.33212399397021014,0.0026032312807131586,0.32882223268602512,0.00069853000347186445,0.0043554178787967752,0.00045657185199302015,0.819518742,0.823657975,74.952875739,90.051,271.05753232681531,21603.150012187914,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,92,202707160392,0.33055760201231343,0.0010368393228164519,0.32884109539609346,0.00067966729340351861,0.0043351978976020862,0.00045197562471998074,0.851848707,0.823964396,75.804724446,90.051,482.02915623629235,21603.150012187914,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,93,202707160393,0.3314002947414465,0.0018795320519495173,0.32886861366862419,0.00065214902087279425,0.0043197318887956788,0.000447935330286774,0.801939188,0.823727566,76.606663634,90.051,219.99375388206587,21603.150012187914,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,94,202707160394,0.33519917544107847,0.0056784127515814853,0.32893596007045878,0.00058480261903820496,0.0043457770407518328,0.00044823267713351063,0.803971640,0.823517397,77.410635274,90.051,205.6876310436005,21603.150012187914,1,1,0.32952076268949698
